user,field_office,i-485 receipt date,interview date,i-130 approval date,i-485 approval date,receipt to interview,interview to i130,interview to i485,i130 to i485,days since interview,days total,case closed,days | CASE CLOSED == YES,days | CASE CLOSED == NO,days since interview | CASE CLOSED == YES,days since interview | CASE CLOSED == NO,i-485 receipt date_dt,interview date_dt,i-130 approval date_dt,i-485 approval date_dt,receipt to interview_num,interview to i130_num,interview to i485_num,i130 to i485_num,days since interview_num,days total_num,closed,receipt_year,receipt_month,receipt_quarter,interview_year,interview_month,interview_quarter,age_days_since_receipt,age_days_since_interview
IcyStaff532,Raleigh/Durham,05-15-2023,07-08-2025,07-15-2025,07-26-2025,785,7,18,11,18,803,YES,803.0,,18.0,,2023-05-15,2025-07-08,2025-07-15,2025-07-26,785.0,7.0,18.0,11.0,18.0,803.0,True,2023.0,2023-05,2023Q2,2025,2025-07,2025Q3,1077.0,292
Frosty_Ad3742,Raleigh/Durham,04-15-2024,07-15-2025,07-16-2025,07-16-2025,456,1,1,0,1,457,YES,457.0,,1.0,,2024-04-15,2025-07-15,2025-07-16,2025-07-16,456.0,1.0,1.0,0.0,1.0,457.0,True,2024.0,2024-04,2024Q2,2025,2025-07,2025Q3,741.0,285
Haunting_Hand_3357,Raleigh/Durham,08-30-2024,09-26-2024,?,04-04-2025,27,?,190,?,190,217,YES,217.0,,190.0,,2024-08-30,2024-09-26,,2025-04-04,27.0,,190.0,,190.0,217.0,True,2024.0,2024-08,2024Q3,2024,2024-09,2024Q3,604.0,577
Fancy_Challenge768,Raleigh/Durham,09-15-2024,04-29-2025,04-30-2025,04-30-2025,226,1,1,0,1,227,YES,227.0,,1.0,,2024-09-15,2025-04-29,2025-04-30,2025-04-30,226.0,1.0,1.0,0.0,1.0,227.0,True,2024.0,2024-09,2024Q3,2025,2025-04,2025Q2,588.0,362
Winter_Ad_6566,Raleigh/Durham,09-30-2024,04-29-2025,04-30-2025,05-09-2025,211,1,10,9,10,221,YES,221.0,,10.0,,2024-09-30,2025-04-29,2025-04-30,2025-05-09,211.0,1.0,10.0,9.0,10.0,221.0,True,2024.0,2024-09,2024Q3,2025,2025-04,2025Q2,573.0,362
Warm-Park-4090,Raleigh/Durham,10-08-2024,05-29-2025,05-29-2025,06-12-2025,233,0,14,14,14,247,YES,247.0,,14.0,,2024-10-08,2025-05-29,2025-05-29,2025-06-12,233.0,0.0,14.0,14.0,14.0,247.0,True,2024.0,2024-10,2024Q4,2025,2025-05,2025Q2,565.0,332
Longjumping_Ant3459,Raleigh/Durham,10-15-2024,05-15-2025,05-15-2025,06-29-2025,212,0,45,45,45,257,YES,257.0,,45.0,,2024-10-15,2025-05-15,2025-05-15,2025-06-29,212.0,0.0,45.0,45.0,45.0,257.0,True,2024.0,2024-10,2024Q4,2025,2025-05,2025Q2,558.0,346
Haunting-Walk-1156,Raleigh/Durham,11-01-2024,06-03-2025,06-03-2025,06-04-2025,214,0,1,1,1,215,YES,215.0,,1.0,,2024-11-01,2025-06-03,2025-06-03,2025-06-04,214.0,0.0,1.0,1.0,1.0,215.0,True,2024.0,2024-11,2024Q4,2025,2025-06,2025Q2,541.0,327
SalinasJ88,Raleigh/Durham,12-17-2024,06-23-2025,?,06-24-2025,188,?,1,?,1,189,YES,189.0,,1.0,,2024-12-17,2025-06-23,,2025-06-24,188.0,,1.0,,1.0,189.0,True,2024.0,2024-12,2024Q4,2025,2025-06,2025Q2,495.0,307
Various_Mango9161,Raleigh/Durham,02-04-2025,09-17-2025,09-17-2025,09-17-2025,225,0,0,0,0,225,YES,225.0,,0.0,,2025-02-04,2025-09-17,2025-09-17,2025-09-17,225.0,0.0,0.0,0.0,0.0,225.0,True,2025.0,2025-02,2025Q1,2025,2025-09,2025Q3,446.0,221
CanLow8636,Raleigh/Durham,04-07-2025,07-07-2025,07-08-2025,07-08-2025,91,1,1,0,1,92,YES,92.0,,1.0,,2025-04-07,2025-07-07,2025-07-08,2025-07-08,91.0,1.0,1.0,0.0,1.0,92.0,True,2025.0,2025-04,2025Q2,2025,2025-07,2025Q3,384.0,293
Comfortable-Math-552,Raleigh/Durham,04-29-2025,10-09-2025,10-10-2025,10-10-2025,163,1,1,0,1,164,YES,164.0,,1.0,,2025-04-29,2025-10-09,2025-10-10,2025-10-10,163.0,1.0,1.0,0.0,1.0,164.0,True,2025.0,2025-04,2025Q2,2025,2025-10,2025Q4,362.0,199
Prestigious-Cold-728,Raleigh/Durham,05-14-2025,10-16-2025,?,10-17-2025,155,?,1,?,1,156,YES,156.0,,1.0,,2025-05-14,2025-10-16,,2025-10-17,155.0,,1.0,,1.0,156.0,True,2025.0,2025-05,2025Q2,2025,2025-10,2025Q4,347.0,192
saladgirrrl,Raleigh/Durham,05-15-2025,10-09-2025,?,10-25-2025,147,?,16,?,16,163,YES,163.0,,16.0,,2025-05-15,2025-10-09,,2025-10-25,147.0,,16.0,,16.0,163.0,True,2025.0,2025-05,2025Q2,2025,2025-10,2025Q4,346.0,199
mikeobs97,Raleigh/Durham,05-20-2025,10-20-2025,10-21-2025,10-21-2025,153,1,1,0,1,154,YES,154.0,,1.0,,2025-05-20,2025-10-20,2025-10-21,2025-10-21,153.0,1.0,1.0,0.0,1.0,154.0,True,2025.0,2025-05,2025Q2,2025,2025-10,2025Q4,341.0,188
Ok_Entertainer8924,Raleigh/Durham,06-23-2025,09-08-2025,09-09-2025,11-10-2025,77,1,63,62,63,140,YES,140.0,,63.0,,2025-06-23,2025-09-08,2025-09-09,2025-11-10,77.0,1.0,63.0,62.0,63.0,140.0,True,2025.0,2025-06,2025Q2,2025,2025-09,2025Q3,307.0,230
No_Breakfast_3997,Raleigh/Durham,06-30-2025,10-09-2025,?,10-10-2025,101,?,1,?,1,102,YES,102.0,,1.0,,2025-06-30,2025-10-09,,2025-10-10,101.0,,1.0,,1.0,102.0,True,2025.0,2025-06,2025Q2,2025,2025-10,2025Q4,300.0,199
Tall-Werewolf-5229,Raleigh/Durham,07-02-2025,12-09-2025,12-10-2025,12-18-2025,160,1,9,8,9,169,YES,169.0,,9.0,,2025-07-02,2025-12-09,2025-12-10,2025-12-18,160.0,1.0,9.0,8.0,9.0,169.0,True,2025.0,2025-07,2025Q3,2025,2025-12,2025Q4,298.0,138
throwawaydumbo1,Raleigh/Durham,07-12-2025,12-15-2025,,FUTURE,156,,?,,50,206,NO,,206,,50.0,2025-07-12,2025-12-15,,,156.0,,,,50.0,206.0,False,2025.0,2025-07,2025Q3,2025,2025-12,2025Q4,288.0,132
GrouchyFed,Raleigh/Durham,07-15-2025,11-07-2025,11-08-2025,11-08-2025,115,1,1,0,1,116,YES,116.0,,1.0,,2025-07-15,2025-11-07,2025-11-08,2025-11-08,115.0,1.0,1.0,0.0,1.0,116.0,True,2025.0,2025-07,2025Q3,2025,2025-11,2025Q4,285.0,170
Kommissar_Nance,Raleigh/Durham,07-24-2025,12-11-2025,12-12-2025,12-18-2025,140,1,7,6,7,147,YES,147.0,,7.0,,2025-07-24,2025-12-11,2025-12-12,2025-12-18,140.0,1.0,7.0,6.0,7.0,147.0,True,2025.0,2025-07,2025Q3,2025,2025-12,2025Q4,276.0,136
Available-Bread5307,Raleigh/Durham,08-05-2025,11-12-2025,11-13-2025,11-13-2025,99,1,1,0,1,100,YES,100.0,,1.0,,2025-08-05,2025-11-12,2025-11-13,2025-11-13,99.0,1.0,1.0,0.0,1.0,100.0,True,2025.0,2025-08,2025Q3,2025,2025-11,2025Q4,264.0,165
Responsible-Touch-91,Raleigh/Durham,08-06-2025,12-10-2025,12-14-2025,12-14-2025,126,4,4,0,4,130,YES,130.0,,4.0,,2025-08-06,2025-12-10,2025-12-14,2025-12-14,126.0,4.0,4.0,0.0,4.0,130.0,True,2025.0,2025-08,2025Q3,2025,2025-12,2025Q4,263.0,137
GeeWoman,Raleigh/Durham,08-26-2025,12-10-2025,12-13-2025,FUTURE,106,3,?,?,55,161,NO,,161,,55.0,2025-08-26,2025-12-10,2025-12-13,,106.0,3.0,,,55.0,161.0,False,2025.0,2025-08,2025Q3,2025,2025-12,2025Q4,243.0,137
Ecstatic-Leading-240,Raleigh/Durham,08-30-2025,12-18-2025,12-22-2025,12-24-2025,110,4,6,2,6,116,YES,116.0,,6.0,,2025-08-30,2025-12-18,2025-12-22,2025-12-24,110.0,4.0,6.0,2.0,6.0,116.0,True,2025.0,2025-08,2025Q3,2025,2025-12,2025Q4,239.0,129
_goto_throwaway_,Raleigh/Durham,10-02-2025,12-10-2025,12-11-2025,FUTURE,69,1,?,?,55,124,NO,,124,,55.0,2025-10-02,2025-12-10,2025-12-11,,69.0,1.0,,,55.0,124.0,False,2025.0,2025-10,2025Q4,2025,2025-12,2025Q4,206.0,137
Dizzy-Eye4312,Raleigh/Durham,10-10-2025,12-10-2025,12-13-2025,FUTURE,61,3,?,?,55,116,NO,,116,,55.0,2025-10-10,2025-12-10,2025-12-13,,61.0,3.0,,,55.0,116.0,False,2025.0,2025-10,2025Q4,2025,2025-12,2025Q4,198.0,137
Rough_Procedure1815,Raleigh/Durham,12-03-2025,01-28-2026,01-30-2026,01-30-2026,56,2,2,0,2,58,YES,58.0,,2.0,,2025-12-03,2026-01-28,2026-01-30,2026-01-30,56.0,2.0,2.0,0.0,2.0,58.0,True,2025.0,2025-12,2025Q4,2026,2026-01,2026Q1,144.0,88
Clear_Reading4945,Raleigh/Durham,?,11-13-2025,11-14-2025,11-14-2025,#VALUE!,1,1,0,1,#VALUE!,YES,,,1.0,,,2025-11-13,2025-11-14,2025-11-14,,1.0,1.0,0.0,1.0,,True,,,,2025,2025-11,2025Q4,,164
Ok_Internet_7401,Raleigh/Durham,04-19-2024,05-05-2025,05-15-2025,FUTURE,381,10,?,?,314,695,NO,,695,,314.0,2024-04-19,2025-05-05,2025-05-15,,381.0,10.0,,,314.0,695.0,False,2024.0,2024-04,2024Q2,2025,2025-05,2025Q2,737.0,356
ellaumbrlla,Raleigh/Durham,?,05-28-2025,05-30-2025,?,#VALUE!,2,?,?,291,#VALUE!,NO,,#VALUE!,,291.0,,2025-05-28,2025-05-30,,,2.0,,,291.0,,False,,,,2025,2025-05,2025Q2,,333
MelissaJiNa,Raleigh/Durham,10-29-2024,06-03-2025,06-04-2025,06-04-2025,217,1,1,0,1,218,YES,218.0,,1.0,,2024-10-29,2025-06-03,2025-06-04,2025-06-04,217.0,1.0,1.0,0.0,1.0,218.0,True,2024.0,2024-10,2024Q4,2025,2025-06,2025Q2,544.0,327
Comfortable_Pea_6522,Raleigh/Durham,01-21-2025,06-23-2025,,06-24-2025,153,#VALUE!,1,#VALUE!,1,154,YES,154.0,,1.0,,2025-01-21,2025-06-23,,2025-06-24,153.0,,1.0,,1.0,154.0,True,2025.0,2025-01,2025Q1,2025,2025-06,2025Q2,460.0,307
RichConfidence7466,Raleigh/Durham,04-07-2025,07-24-2025,?,07-25-2025,108,?,1,?,1,109,YES,109.0,,1.0,,2025-04-07,2025-07-24,,2025-07-25,108.0,,1.0,,1.0,109.0,True,2025.0,2025-04,2025Q2,2025,2025-07,2025Q3,384.0,276
Aggie_Aggie_NC,Raleigh/Durham,02-01-2024,09-22-2025,,11-01-2025,599,,40,,40,639,YES,639.0,,40.0,,2024-02-01,2025-09-22,,2025-11-01,599.0,,40.0,,40.0,639.0,True,2024.0,2024-02,2024Q1,2025,2025-09,2025Q3,815.0,216
form_response_10,Raleigh/Durham,05-05-2025,10-15-2025,FUTURE,FUTURE,163,?,?,?,151,314,NO,,314,,151.0,2025-05-05,2025-10-15,,,163.0,,,,151.0,314.0,False,2025.0,2025-05,2025Q2,2025,2025-10,2025Q4,356.0,193
Frequent_Ostrich6189,Raleigh/Durham,04-23-2025,11-04-2025,FUTURE,FUTURE,195,?,?,?,131,326,NO,,326,,131.0,2025-04-23,2025-11-04,,,195.0,,,,131.0,326.0,False,2025.0,2025-04,2025Q2,2025,2025-11,2025Q4,368.0,173
champdogpc,Raleigh/Durham,?,11-13-2025,?,?,#VALUE!,?,?,?,122,#VALUE!,NO,,#VALUE!,,122.0,,2025-11-13,,,,,,,122.0,,False,,,,2025,2025-11,2025Q4,,164
Sweet_Sage18,Raleigh/Durham,08-15-2025,12-18-2025,,FUTURE,125,,?,,87,212,NO,,212,,87.0,2025-08-15,2025-12-18,,,125.0,,,,87.0,212.0,False,2025.0,2025-08,2025Q3,2025,2025-12,2025Q4,254.0,129
TopicPuzzleheaded306,Raleigh/Durham,09-30-2025,12-10-2025,12-15-2025,FUTURE,71,5,?,?,95,166,NO,,166,,95.0,2025-09-30,2025-12-10,2025-12-15,,71.0,5.0,,,95.0,166.0,False,2025.0,2025-09,2025Q3,2025,2025-12,2025Q4,208.0,137
Start_Kooky,Raleigh/Durham,11-20-2025,12-18-2025,,FUTURE,28,,?,,87,115,NO,,115,,87.0,2025-11-20,2025-12-18,,,28.0,,,,87.0,115.0,False,2025.0,2025-11,2025Q4,2025,2025-12,2025Q4,157.0,129
form_response_14,Raleigh/Durham,06-10-2025,01-07-2026,02-03-2026,FUTURE,211,27,?,?,67,278,NO,,278,,67.0,2025-06-10,2026-01-07,2026-02-03,,211.0,27.0,,,67.0,278.0,False,2025.0,2025-06,2025Q2,2026,2026-01,2026Q1,320.0,109
form_response_11,Raleigh/Durham,10-22-2025,01-15-2026,FUTURE,FUTURE,85,?,?,?,59,144,NO,,144,,59.0,2025-10-22,2026-01-15,,,85.0,,,,59.0,144.0,False,2025.0,2025-10,2025Q4,2026,2026-01,2026Q1,186.0,101
EfficientHeart7188,Raleigh/Durham,11-20-2025,01-22-2026,02-03-2026,FUTURE,63,12,?,?,52,115,NO,,115,,52.0,2025-11-20,2026-01-22,2026-02-03,,63.0,12.0,,,52.0,115.0,False,2025.0,2025-11,2025Q4,2026,2026-01,2026Q1,157.0,94
Additional_Play165 - form_response_7,Raleigh/Durham,11-05-2025,01-15-2026,01-26-2026,FUTURE,71,11,?,?,59,130,NO,,130,,59.0,2025-11-05,2026-01-15,2026-01-26,,71.0,11.0,,,59.0,130.0,False,2025.0,2025-11,2025Q4,2026,2026-01,2026Q1,172.0,101
form_response_2,Raleigh/Durham,12-01-2025,01-28-2026,01-30-2026,FUTURE,58,2,?,?,46,104,NO,,104,,46.0,2025-12-01,2026-01-28,2026-01-30,,58.0,2.0,,,46.0,104.0,False,2025.0,2025-12,2025Q4,2026,2026-01,2026Q1,146.0,88
form_response_15,Raleigh/Durham,10-28-2025,02-19-2026,FUTURE,FUTURE,114,?,?,?,24,138,NO,,138,,24.0,2025-10-28,2026-02-19,,,114.0,,,,24.0,138.0,False,2025.0,2025-10,2025Q4,2026,2026-02,2026Q1,180.0,66
